Symbol,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Security,GICS Sector,GICS Sub-Industry,MinVol Returns,Volatility,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,Optim Risk Returns,Volatility,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,Security,GICS Sector,GICS Sub-Industry,MinVol Returns,Volatility,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,Optim Risk Returns,Volatility,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,Security,GICS Sector,GICS Sub-Industry,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
MMM,-0.04737112590731918,0.37555285683110534,-0.12613704048754726,NEM,0.16733457731376092,3M Company,Industrials,Industrial Conglomerates,0.002977932442774084,0.3130209169002965,0.22569397410574737,0.03917695402606612,0.12378316396973826,0.25077868997221864,0.21712509058624918,0.05318490784310588,0.022919242394036938,0.04152071572948542,0.016453766567730482,0.009363494805621606,0.06445676770673839,0.38856098837532715,0.04898306349054669,0.012761855838323939,0.2152524547260713,0.17264945635757414,0.03305991649418378,0.0736174852500617,0.08962726684425135,0.03163611365822706,0.08257038335289307,0.23984200398786718,3M Company,Industrials,Industrial Conglomerates,0.002977932442774084,0.3130209169002965,0.22569397410574737,0.03917695402606612,0.12378316396973826,0.25077868997221864,0.21712509058624918,0.05318490784310588,0.022919242394036938,0.04152071572948542,0.016453766567730482,0.009363494805621606,0.06445676770673839,0.38856098837532715,0.04898306349054669,0.012761855838323939,0.2152524547260713,0.17264945635757414,0.03305991649418378,0.0736174852500617,0.08962726684425135,0.03163611365822706,0.08257038335289307,0.23984200398786718,3M Company,Industrials,Industrial Conglomerates,0.000970513915217134,0.31409822664501047,0.18826224609056363,0.07055575983381795,0.09504272872552538,0.24680906150428272,0.1734015429821842,0.006289694642885572,0.00012041388189864062,0.10077123996706183,0.1136924824619193,0.005054829909860774,0.08113577550535034,0.40113512370269794,0.011353523612552572,0.0013528933881785574,0.2572792611833815,0.19192873482506267,0.014526010845847617,0.03605318971496026,0.09433674759427225,0.018125329903519918,0.09927100774600685,0.27577330118621785
ABT,-0.00593662926806926,0.3912735253180406,-0.015172581030734864,CARR,0.1608603979828511,Abbott Laboratories,Health Care,Health Care Equipment,-0.007963750389562468,0.3570373155292618,0.28707579279469947,0.014219073007205853,0.11240195673522536,0.07186100685309052,0.08165437856508363,0.03762212795849727,0.2726629724951684,0.011811506230317818,0.026292335501419708,0.084398849859292,0.1137676062059896,0.5984207334427352,0.04245906769671244,0.3833322400826651,0.09137738155770073,0.015186264489678813,0.05967612398009497,0.0012643193062250766,0.10149162886272256,0.0020807808112667937,0.26747943762277615,0.035652755590157376,Abbott Laboratories,Health Care,Health Care Equipment,-0.007963750389562468,0.3570373155292618,0.28707579279469947,0.014219073007205853,0.11240195673522536,0.07186100685309052,0.08165437856508363,0.03762212795849727,0.2726629724951684,0.011811506230317818,0.026292335501419708,0.084398849859292,0.1137676062059896,0.5984207334427352,0.04245906769671244,0.3833322400826651,0.09137738155770073,0.015186264489678813,0.05967612398009497,0.0012643193062250766,0.10149162886272256,0.0020807808112667937,0.26747943762277615,0.035652755590157376,Abbott Laboratories,Health Care,Health Care Equipment,-0.012864832738673926,0.35711900236395305,0.23122372292935206,0.00040821809439113625,0.1850283515064387,0.11237127724448726,0.09346211538586571,0.01053305991805651,0.1703317504448659,0.13295060398741143,0.011651332707618292,0.05203956778151304,0.09281486280442679,0.560130649739721,0.06848939643330094,0.31615586198986134,0.18688714481070823,0.05321130394245137,0.011520879014197108,0.16430757922994832,0.017195977389291777,0.020363906457150766,0.11982490006876148,0.042043050664328514
ABBV,0.0245450043487192,0.3505872712449971,0.07001111096120395,NEM,0.1060702014313528,AbbVie Inc.,Health Care,Pharmaceuticals,-0.0038198450010843935,0.4077224839656724,0.2394935914308405,0.023390256435189712,0.0717189871402244,0.10748759510098968,0.2278257295169905,0.2263775737014852,0.004568567234579745,0.03477361933980013,0.006736240664407615,0.05762783943549241,0.17058982723795202,0.6598315017311281,0.13163460241912114,0.0735112843642782,0.03970293318015466,0.14682288136350538,0.04958120262929929,0.04258488905435352,0.23614127214755057,0.010662759325880298,0.24558753692985366,0.023770638586003416,AbbVie Inc.,Health Care,Pharmaceuticals,-0.0038198450010843935,0.4077224839656724,0.2394935914308405,0.023390256435189712,0.0717189871402244,0.10748759510098968,0.2278257295169905,0.2263775737014852,0.004568567234579745,0.03477361933980013,0.006736240664407615,0.05762783943549241,0.17058982723795202,0.6598315017311281,0.13163460241912114,0.0735112843642782,0.03970293318015466,0.14682288136350538,0.04958120262929929,0.04258488905435352,0.23614127214755057,0.010662759325880298,0.24558753692985366,0.023770638586003416,AbbVie Inc.,Health Care,Pharmaceuticals,0.004008598783117618,0.4110162051331465,0.20974896183369207,0.024934718711115203,0.008239078732028506,0.08422178685806384,0.23747309064843106,0.2558256780293367,0.029938053139976082,0.10496861117770341,0.025708402822165702,0.018941618047487545,0.1827850610703603,0.7009500819045827,0.0986997282586628,0.074828992525271,0.04177180354175948,0.07316082939992528,0.08596109669958982,0.016932072684836125,0.23978809125097988,0.06095898854404919,0.2893227820979831,0.018575614996943265
ABMD,0.0014497261042760723,0.43181996015564417,0.0033572466260094517,VNT,0.07116087403248682,ABIOMED Inc,Health Care,Health Care Equipment,-0.0008691277593666602,0.4175039411106393,0.29677549891881594,0.28223325202223026,0.012662880947492336,0.023963944706667736,0.005807108824225518,0.035225164274214606,0.037108643088748464,0.176102094658841,0.09852758372131776,0.03159382883744652,0.013885483266475833,0.5094594656847798,0.10346255773018385,0.1123990576483292,0.06482303762563972,0.024246578040250148,0.00832665861326036,0.23589470055191433,0.20972333842906568,0.21522861263417153,0.0070468261979171895,0.018848632529267956,ABIOMED Inc,Health Care,Health Care Equipment,-0.0008691277593666602,0.4175039411106393,0.29677549891881594,0.28223325202223026,0.012662880947492336,0.023963944706667736,0.005807108824225518,0.035225164274214606,0.037108643088748464,0.176102094658841,0.09852758372131776,0.03159382883744652,0.013885483266475833,0.5094594656847798,0.10346255773018385,0.1123990576483292,0.06482303762563972,0.024246578040250148,0.00832665861326036,0.23589470055191433,0.20972333842906568,0.21522861263417153,0.0070468261979171895,0.018848632529267956,ABIOMED Inc,Health Care,Health Care Equipment,-0.007636521232923892,0.4017463886145827,0.3405001782492037,0.15792815961319517,0.15287694944810842,0.09854006383385902,0.04768932251473122,0.03660590492604503,0.02720975044411721,0.09964172023845308,0.022261113132723186,0.016746837599563937,0.013982155647873667,0.44541968833782136,0.31262084476663776,3.83335370917412e-05,0.029219311655424105,0.015774823361152896,0.0023653784719240593,0.2466138973303109,0.013856281311629495,0.2971889409316798,0.05214752543426018,0.03017466319988908
ACN,-0.010757686238742736,0.41480818572392825,-0.02593412234613522,VNT,0.2202602426729907,Accenture plc,Information Technology,IT Consulting & Other Services,0.06506387299555846,0.3155201670630172,0.0027454364137208948,0.12751090241918134,0.20115858196690048,0.06051982437129636,0.016699214162857873,0.003363946700344818,0.006760693454249596,0.2169820380367299,0.09739929083352142,0.26686007164119735,0.17231586050533898,0.45406621791886626,0.00021866283847531403,0.21841011761132573,0.08553142212134358,0.003352396711515654,0.12295262370674652,0.25503315516499525,0.05076131261981442,0.022694850804589096,0.1826956351216805,0.058349823299513846,Accenture plc,Information Technology,IT Consulting & Other Services,0.06506387299555846,0.3155201670630172,0.0027454364137208948,0.12751090241918134,0.20115858196690048,0.06051982437129636,0.016699214162857873,0.003363946700344818,0.006760693454249596,0.2169820380367299,0.09739929083352142,0.26686007164119735,0.17231586050533898,0.45406621791886626,0.00021866283847531403,0.21841011761132573,0.08553142212134358,0.003352396711515654,0.12295262370674652,0.25503315516499525,0.05076131261981442,0.022694850804589096,0.1826956351216805,0.058349823299513846,Accenture plc,Information Technology,IT Consulting & Other Services,0.07073594829664623,0.31946310770017133,0.028870429826166534,0.12963935681352018,0.13145027807799797,0.004132052313055341,0.08371391861919492,0.01811582939814851,0.012876502661122611,0.20193758288078234,0.17958342210672895,0.2096806273032827,0.17619733032750562,0.4688744092603964,0.0035179349950835285,0.16708110984629715,0.1359608773345914,0.015150912867739879,0.11152837771120712,0.2314990256368941,0.0716534775283983,0.0022612404875343084,0.2541511774292436,0.007195866163010723
ATVI,-0.03877219745054139,0.39068276376895156,-0.09924215001578911,KIM,-0.07983111139222342,Activision Blizzard,Communication Services,Interactive Home Entertainment,0.0035859713539662923,0.33142509454025254,0.3529694854557853,0.020365646388412324,0.15590559523520914,0.0549087382778612,0.008860084618696858,0.1223153356690844,0.020273137105398714,0.08695186654112434,0.1616547677453111,0.015795342963116712,0.08119084111474872,0.4555140777019972,0.02885872057916884,0.02096289911811852,0.07502953066364138,0.08698421833899982,0.05897792723277293,0.32767907273690994,0.09479213533286315,0.19580314867760915,0.011095437652902263,0.09981690966701412,Activision Blizzard,Communication Services,Interactive Home Entertainment,0.0035859713539662923,0.33142509454025254,0.3529694854557853,0.020365646388412324,0.15590559523520914,0.0549087382778612,0.008860084618696858,0.1223153356690844,0.020273137105398714,0.08695186654112434,0.1616547677453111,0.015795342963116712,0.08119084111474872,0.4555140777019972,0.02885872057916884,0.02096289911811852,0.07502953066364138,0.08698421833899982,0.05897792723277293,0.32767907273690994,0.09479213533286315,0.19580314867760915,0.011095437652902263,0.09981690966701412,Activision Blizzard,Communication Services,Interactive Home Entertainment,-0.02856268993654947,0.3318310317308156,0.3179001556433935,0.010622913039687246,0.019410214013877432,0.11696893741073229,0.20635511526399297,0.054422592003072354,0.0002045943305992197,0.0006905194046435548,0.27067599787081587,0.0027489610191855866,0.0788781415673914,0.4651330189465293,0.021579652169626012,0.06643617877832783,0.03217412048521673,0.21532274529348397,0.04185891463144697,0.29706133959417647,0.018569880355853503,0.255215788117158,0.043908843978342015,0.007872536596368503
ADBE,-0.05692634067556546,0.48166283409703353,-0.11818711481504372,VNT,0.04925774003433106,Adobe Inc.,Information Technology,Application Software,-0.03281948106361856,0.39012638455163334,0.2810811870425864,0.21333285635552438,0.03426580059009634,0.001385122096909361,0.05134966223050954,0.17351102152410014,0.11139479295320569,0.02505884795904461,0.05037222890632223,0.058248480341701304,0.028453257545160232,0.507334712289176,0.02179065447738641,0.032838698386612554,0.12181793406756868,0.01816149851599144,0.2470334406612018,0.021821862351841116,0.00799524113299012,0.2597992703541262,0.006012950040251639,0.26272845001203005,Adobe Inc.,Information Technology,Application Software,-0.03281948106361856,0.39012638455163334,0.2810811870425864,0.21333285635552438,0.03426580059009634,0.001385122096909361,0.05134966223050954,0.17351102152410014,0.11139479295320569,0.02505884795904461,0.05037222890632223,0.058248480341701304,0.028453257545160232,0.507334712289176,0.02179065447738641,0.032838698386612554,0.12181793406756868,0.01816149851599144,0.2470334406612018,0.021821862351841116,0.00799524113299012,0.2597992703541262,0.006012950040251639,0.26272845001203005,Adobe Inc.,Information Technology,Application Software,-0.019969739863989703,0.3888554131509706,0.27751791437333456,0.22079575121962325,0.01942029276594187,0.011231638268743665,0.00019784734074679725,0.06479652501952758,0.06321964176887192,0.2724213031425023,0.01443699760823423,0.05596208849247384,0.020811383853473024,0.4828083840047311,0.053961747634708505,0.0013508694438522535,0.10214461557594744,0.03482198298405393,0.22049055423386632,0.03275692493818913,0.16922483178150502,0.19955147438487655,0.023599214861292548,0.16209778416170842
AMD,0.039799384607091204,0.6070735632152521,0.06555940996063339,CARR,-0.002453571056759769,Advanced Micro Devices Inc,Information Technology,Semiconductors,0.00984029428350657,0.3429029216515386,0.0844805219445128,0.16347598934687585,0.04712782815011752,0.23276237245286716,0.03293602712313474,0.0056078984056012636,0.029862788050995116,0.16718986153133505,0.08915843165414303,0.14739828134041746,0.09758977545945063,0.5128139354671483,0.06620481047134176,0.13481557788658394,0.015674244031254374,0.1472162077132665,0.08631625046642685,0.350203075143254,0.008638808479659916,0.03597503109282242,0.028849791677739173,0.126106203037651,Advanced Micro Devices Inc,Information Technology,Semiconductors,0.00984029428350657,0.3429029216515386,0.0844805219445128,0.16347598934687585,0.04712782815011752,0.23276237245286716,0.03293602712313474,0.0056078984056012636,0.029862788050995116,0.16718986153133505,0.08915843165414303,0.14739828134041746,0.09758977545945063,0.5128139354671483,0.06620481047134176,0.13481557788658394,0.015674244031254374,0.1472162077132665,0.08631625046642685,0.350203075143254,0.008638808479659916,0.03597503109282242,0.028849791677739173,0.126106203037651,Advanced Micro Devices Inc,Information Technology,Semiconductors,-0.0007490914878026432,0.342426337495586,0.036987741404501874,0.08300171854560247,0.0857142046872866,0.23108013310990994,0.06675894812944234,0.0018992223240835119,0.00485416021313811,0.18152884290480897,0.17944656380751006,0.1287284648737161,0.07482913801386652,0.4345904483417037,0.04862009083289421,0.2656437571029565,0.04892956454515821,0.2104041244778522,0.01869194142720877,0.2539918521050864,0.004392949290479205,0.11204191895626338,1.3088990184747722e-05,0.03727071227191634
AAP,0.12164309777356919,0.47413187530184026,0.256559628470727,VNT,0.1326166256096663,Advance Auto Parts,Consumer Discretionary,Automotive Retail,0.026149473078617466,0.35501395598586555,0.05239825814843379,0.019125302232662917,0.09125793627672357,0.3729707286369031,0.14000987167674392,0.03735124488799257,0.012770866280187206,0.05449081312072499,0.21456919001660096,0.005055788723026728,0.1121562850127827,0.4451916887464688,0.28839954014222374,0.18494853451827659,0.26269078726145983,0.0075778124072108845,0.01765148455814835,0.09605867352333235,0.026828050037606722,0.07144483942906761,0.03775195916440294,0.006648318958271121,Advance Auto Parts,Consumer Discretionary,Automotive Retail,0.026149473078617466,0.35501395598586555,0.05239825814843379,0.019125302232662917,0.09125793627672357,0.3729707286369031,0.14000987167674392,0.03735124488799257,0.012770866280187206,0.05449081312072499,0.21456919001660096,0.005055788723026728,0.1121562850127827,0.4451916887464688,0.28839954014222374,0.18494853451827659,0.26269078726145983,0.0075778124072108845,0.01765148455814835,0.09605867352333235,0.026828050037606722,0.07144483942906761,0.03775195916440294,0.006648318958271121,Advance Auto Parts,Consumer Discretionary,Automotive Retail,0.047487878035359636,0.36099071114131653,0.25090172062258226,0.10811509722044797,0.02426821116173495,0.25371170535115484,0.2690998077962017,0.007644062064003164,0.032525064035129836,0.003096076103871686,0.04514167242529925,0.005496583219574307,0.11551980456891837,0.4558941269234444,0.27441948050945725,0.1474739109564492,0.20384041163013425,0.07134886858937937,0.07447725949945842,0.14659158806268807,0.003346495555739194,0.02017047689290984,0.028353130171981246,0.029978378131803086
AES,0.10723406203249675,0.5933831796596909,0.1807163831202566,KR,0.05919891712299235,AES Corp,Utilities,Independent Power Producers & Energy Traders,-0.03293704197823185,0.2632990673722493,0.03582983821155899,0.0049128161034646635,0.23081762676672998,0.1121875068860304,0.042228588159590026,0.2775556226273651,0.041615523065350046,0.1713120623030279,0.0032136756443088277,0.0803267402325741,0.06250672551611833,0.3504939098807701,0.19583192633054655,0.05313683565748797,0.02109165405696622,0.0411930512293027,0.06998411887416073,0.07681379955261994,0.015985506374602127,0.24952911508315528,0.2533897644954619,0.023044228345696555,AES Corp,Utilities,Independent Power Producers & Energy Traders,-0.03293704197823185,0.2632990673722493,0.03582983821155899,0.0049128161034646635,0.23081762676672998,0.1121875068860304,0.042228588159590026,0.2775556226273651,0.041615523065350046,0.1713120623030279,0.0032136756443088277,0.0803267402325741,0.06250672551611833,0.3504939098807701,0.19583192633054655,0.05313683565748797,0.02109165405696622,0.0411930512293027,0.06998411887416073,0.07681379955261994,0.015985506374602127,0.24952911508315528,0.2533897644954619,0.023044228345696555,AES Corp,Utilities,Independent Power Producers & Energy Traders,-0.016309959152697097,0.27115488670586013,0.00042370482158276147,0.028459638583752882,0.22246268541189138,0.12438269815738262,0.10729132388420855,0.20541466826564475,0.017751028138337784,0.17289693792127592,0.0796836797783346,0.04123363503758881,0.06022383137926691,0.3250029195858742,0.15018685402250007,0.024916543799187,0.1563327715930773,0.0070355531004503,0.10271907015314116,0.08833932316000216,0.01730743210654632,0.1335749957288389,0.3078426303572128,0.011744825979044141
