,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Security,GICS Sector,GICS Sub-Industry,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9,Security,GICS Sector,GICS Sub-Industry,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
MMM,-0.04868696626645552,0.3754557247302045,-0.1296743212570299,NEM,0.16820919421028765,3M Company,Industrials,Industrial Conglomerates,0.007255706799735362,0.30882752580022826,0.19499496770916658,0.056922179412188155,0.07955587048077074,0.2106581910255032,0.12690135927349336,0.011723664056149252,0.03261350361937492,0.022149292614807217,0.1588524625540221,0.1056285092545244,0.0732437607263424,0.38415039365117626,0.0138403671137047,0.007169989615547952,0.26119495372093876,0.049271504781228444,0.06003741061218997,0.01612001768649662,0.0018971885193206168,0.247065984038708,0.0930177573528173,0.2503848265590477,3M Company,Industrials,Industrial Conglomerates,0.007255706799735362,0.30882752580022826,0.19499496770916658,0.056922179412188155,0.07955587048077074,0.2106581910255032,0.12690135927349336,0.011723664056149252,0.03261350361937492,0.022149292614807217,0.1588524625540221,0.1056285092545244,0.0732437607263424,0.38415039365117626,0.0138403671137047,0.007169989615547952,0.26119495372093876,0.049271504781228444,0.06003741061218997,0.01612001768649662,0.0018971885193206168,0.247065984038708,0.0930177573528173,0.2503848265590477
ABT,0.02429449003569295,0.3919324854852895,0.06198641586346586,CARR,0.1578347583944342,Abbott Laboratories,Health Care,Health Care Equipment,-0.004720757874431412,0.35866412317492297,0.16674157850174112,0.016311661659988968,0.12154015934593893,0.1634172334344755,0.028245470274687608,0.2070343077687269,0.028551304641337382,0.21574561426486327,0.009387085221203574,0.043025584887036866,0.08512255596509144,0.526739753673001,0.22703491479745602,0.16013452129705494,0.0283442317767144,0.10549675305524933,0.01466737015068472,0.005686710580989976,0.007362246078665419,0.04230438242361003,0.3054889165844372,0.10347995325513792,Abbott Laboratories,Health Care,Health Care Equipment,-0.004720757874431412,0.35866412317492297,0.16674157850174112,0.016311661659988968,0.12154015934593893,0.1634172334344755,0.028245470274687608,0.2070343077687269,0.028551304641337382,0.21574561426486327,0.009387085221203574,0.043025584887036866,0.08512255596509144,0.526739753673001,0.22703491479745602,0.16013452129705494,0.0283442317767144,0.10549675305524933,0.01466737015068472,0.005686710580989976,0.007362246078665419,0.04230438242361003,0.3054889165844372,0.10347995325513792
ABBV,0.04946332568257805,0.35117035410642483,0.14085279438932313,NEM,0.10378655367935793,AbbVie Inc.,Health Care,Pharmaceuticals,-0.01157151277138116,0.40454610375735794,0.19280290759249544,0.07577555235713801,0.02912986129966157,0.18337252132198495,0.009992893648796651,0.31167866723200777,0.06999412636586416,0.011235661557705997,0.08668510055704924,0.029332708067296084,0.10883682683859519,0.6568454235830014,0.19837944553117826,0.015584580128583145,0.026674553918735546,0.0136867785302691,0.15559089832422437,0.017897841084291332,0.12547629596667337,0.34024130610088094,0.06971602962249018,0.03675227079267363,AbbVie Inc.,Health Care,Pharmaceuticals,-0.01157151277138116,0.40454610375735794,0.19280290759249544,0.07577555235713801,0.02912986129966157,0.18337252132198495,0.009992893648796651,0.31167866723200777,0.06999412636586416,0.011235661557705997,0.08668510055704924,0.029332708067296084,0.10883682683859519,0.6568454235830014,0.19837944553117826,0.015584580128583145,0.026674553918735546,0.0136867785302691,0.15559089832422437,0.017897841084291332,0.12547629596667337,0.34024130610088094,0.06971602962249018,0.03675227079267363
ABMD,-0.001511476661019362,0.4309992598467306,-0.0035069124284734603,VNT,0.06921439898463472,ABIOMED Inc,Health Care,Health Care Equipment,0.007354361918787094,0.4165444915557256,0.2622127736032926,0.041456802700776736,0.02743238628688379,0.11107654320887116,0.02436156272943797,0.200832138344094,0.012035836362482498,0.008003893069586118,0.22471139653004685,0.0878766671645283,0.009167038890292708,0.4424649365569504,0.2270710777744352,0.0515647423378957,0.01438069377251165,0.11868705794458748,0.047788109219909045,0.27091370999694175,0.0034830270930302776,0.03789189982692454,0.2230170711542718,0.0052026108794925,ABIOMED Inc,Health Care,Health Care Equipment,0.007354361918787094,0.4165444915557256,0.2622127736032926,0.041456802700776736,0.02743238628688379,0.11107654320887116,0.02436156272943797,0.200832138344094,0.012035836362482498,0.008003893069586118,0.22471139653004685,0.0878766671645283,0.009167038890292708,0.4424649365569504,0.2270710777744352,0.0515647423378957,0.01438069377251165,0.11868705794458748,0.047788109219909045,0.27091370999694175,0.0034830270930302776,0.03789189982692454,0.2230170711542718,0.0052026108794925
ACN,-0.01581105247852954,0.41485162573964673,-0.03811254795094444,VNT,0.21643409481272222,Accenture plc,Information Technology,IT Consulting & Other Services,0.06828015327691972,0.34717476384698065,0.18602074537421398,0.22374104050734464,0.028148625525056356,0.05115551788596841,0.1277032218775623,0.013918456980812847,0.004914881073666954,0.03301664000022476,0.1262274239921506,0.2051534467829992,0.14843008229786167,0.4306054804457984,0.0014477092216588648,0.149166128161104,0.03861646660841562,0.22577314685012145,0.0321954262253305,0.11411178124733377,0.01585763143288394,0.21410450319786903,0.03554632067872019,0.1731808863765626,Accenture plc,Information Technology,IT Consulting & Other Services,0.06828015327691972,0.34717476384698065,0.18602074537421398,0.22374104050734464,0.028148625525056356,0.05115551788596841,0.1277032218775623,0.013918456980812847,0.004914881073666954,0.03301664000022476,0.1262274239921506,0.2051534467829992,0.14843008229786167,0.4306054804457984,0.0014477092216588648,0.149166128161104,0.03861646660841562,0.22577314685012145,0.0321954262253305,0.11411178124733377,0.01585763143288394,0.21410450319786903,0.03554632067872019,0.1731808863765626
ATVI,-0.0331718027105099,0.39061305486159253,-0.0849224118284111,VNT,-0.08007916545394043,Activision Blizzard,Communication Services,Interactive Home Entertainment,0.004326957723983683,0.336848747532877,0.24207037726924455,0.03579954156178085,0.2569515970773544,0.015764503530091234,0.0488095489120308,0.07884114790593659,0.1516701188455457,0.023499881081738293,0.029486609728824394,0.11710667408745304,0.10703017658070377,0.5306920461649816,0.013553705730422664,0.1374436112374577,0.021650138748992315,0.2396367927800474,0.18314458838880762,0.001272224097073362,0.027984696427937366,0.01805062164543843,0.02656819548346364,0.3306954254603595,Activision Blizzard,Communication Services,Interactive Home Entertainment,0.004326957723983683,0.336848747532877,0.24207037726924455,0.03579954156178085,0.2569515970773544,0.015764503530091234,0.0488095489120308,0.07884114790593659,0.1516701188455457,0.023499881081738293,0.029486609728824394,0.11710667408745304,0.10703017658070377,0.5306920461649816,0.013553705730422664,0.1374436112374577,0.021650138748992315,0.2396367927800474,0.18314458838880762,0.001272224097073362,0.027984696427937366,0.01805062164543843,0.02656819548346364,0.3306954254603595
ADBE,-0.05612654482578994,0.4816233968942533,-0.1165361674447748,VNT,0.049818916430661365,Adobe Inc.,Information Technology,Application Software,0.007995935076628664,0.3988606160796843,0.20744490097905258,0.2417381858747118,0.045304131783874005,0.018277561255503363,0.18861402754893153,0.09950571711665947,0.12288353680735481,0.02722002724534202,0.020218272482505316,0.02879363890606511,0.1125209578725383,0.5400843015120862,0.019216132370843304,0.041894924024245585,0.07260277161702028,0.016334130274113776,0.11424869743569398,0.11497745922352863,0.27206358271203834,0.07675754518949768,0.25151783902719055,0.020386918125827793,Adobe Inc.,Information Technology,Application Software,0.007995935076628664,0.3988606160796843,0.20744490097905258,0.2417381858747118,0.045304131783874005,0.018277561255503363,0.18861402754893153,0.09950571711665947,0.12288353680735481,0.02722002724534202,0.020218272482505316,0.02879363890606511,0.1125209578725383,0.5400843015120862,0.019216132370843304,0.041894924024245585,0.07260277161702028,0.016334130274113776,0.11424869743569398,0.11497745922352863,0.27206358271203834,0.07675754518949768,0.25151783902719055,0.020386918125827793
AMD,0.000763272222473077,0.6084333244230185,0.0012544878655305302,CARR,-0.00016452941354501356,Advanced Micro Devices Inc,Information Technology,Semiconductors,0.008129931166045604,0.3435480969658223,0.03827558199330657,0.015950146013355194,0.04042504028453707,0.06588352221318232,0.011167772463283062,0.1657995454628338,0.2272647442459242,0.004314934575349027,0.18720805990296185,0.24371065284526694,0.0368841143546405,0.4175520101084126,0.011677832331514764,0.024274132186080218,0.07336605554671383,0.0918698108837962,0.2889757126060227,0.03733129004262842,0.19271004315818172,0.0025961803142964036,0.012361339783075811,0.2648376031476899,Advanced Micro Devices Inc,Information Technology,Semiconductors,0.008129931166045604,0.3435480969658223,0.03827558199330657,0.015950146013355194,0.04042504028453707,0.06588352221318232,0.011167772463283062,0.1657995454628338,0.2272647442459242,0.004314934575349027,0.18720805990296185,0.24371065284526694,0.0368841143546405,0.4175520101084126,0.011677832331514764,0.024274132186080218,0.07336605554671383,0.0918698108837962,0.2889757126060227,0.03733129004262842,0.19271004315818172,0.0025961803142964036,0.012361339783075811,0.2648376031476899
AAP,0.09047044947602711,0.47513604045264723,0.19040957067756584,VNT,0.11573005083198204,Advance Auto Parts,Consumer Discretionary,Automotive Retail,0.03429919638353396,0.35192243679303203,0.20384567083498678,0.02217001693625678,0.212495732943722,0.12240097273574777,0.0508883914655239,0.0029950964713558116,0.03841506351986609,0.10697105293959168,0.2286350904003735,0.011182911752575643,0.12157428328950513,0.5166547786641639,0.11543882183691993,0.26136632744291105,0.047103068149618496,0.08261516604080155,0.034865826096869175,0.20914773912705767,0.008798202431491335,0.19346577026642273,0.03391222170732027,0.013286856900587925,Advance Auto Parts,Consumer Discretionary,Automotive Retail,0.03429919638353396,0.35192243679303203,0.20384567083498678,0.02217001693625678,0.212495732943722,0.12240097273574777,0.0508883914655239,0.0029950964713558116,0.03841506351986609,0.10697105293959168,0.2286350904003735,0.011182911752575643,0.12157428328950513,0.5166547786641639,0.11543882183691993,0.26136632744291105,0.047103068149618496,0.08261516604080155,0.034865826096869175,0.20914773912705767,0.008798202431491335,0.19346577026642273,0.03391222170732027,0.013286856900587925
AES,0.14382975152198307,0.5942105893992465,0.24205181477394494,KR,0.06171039976679382,AES Corp,Utilities,Independent Power Producers & Energy Traders,-0.021669923977471313,0.26903656004848664,0.03263208218200031,0.10302071245710225,0.04224162281030632,0.11390452616205676,0.23842833136309574,0.009490234875839184,0.16093232977221134,0.24353681098529625,0.012875799966638839,0.0429375494254531,0.03768518554215495,0.38007654275601344,0.36567976664930946,0.021581070670212574,0.029470997599402495,0.19270029349735118,0.031360777784628535,0.048529599234404114,0.019121772175379432,0.12584667124818816,0.04906384730174908,0.11664520383937493,AES Corp,Utilities,Independent Power Producers & Energy Traders,-0.021669923977471313,0.26903656004848664,0.03263208218200031,0.10302071245710225,0.04224162281030632,0.11390452616205676,0.23842833136309574,0.009490234875839184,0.16093232977221134,0.24353681098529625,0.012875799966638839,0.0429375494254531,0.03768518554215495,0.38007654275601344,0.36567976664930946,0.021581070670212574,0.029470997599402495,0.19270029349735118,0.031360777784628535,0.048529599234404114,0.019121772175379432,0.12584667124818816,0.04906384730174908,0.11664520383937493
