,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Security,GICS Sector,GICS Sub-Industry,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
MMM,-11.985797165037532,0.37539176947136693,-31.928769194689952,NEM,0.16799971997703717,3M Company,Industrials,Industrial Conglomerates,MMM,COG,HFC,ATO,REGN,WFC,NOC,ED,T,NI,0.01386667667009497,0.30921352532766294,0.1477711011675661,0.08415991279278863,0.007514365110422914,0.047899025154337374,0.24242052893918895,0.0015092200212683613,0.22171583601005548,0.13798030168636763,0.0505238729919239,0.05850583612608071,0.08796129368407649,0.35798421324397833,0.0025354070735376074,0.18999962687904798,0.0076988694816321765,0.04592441457399946,0.20460150208154962,0.23949985853421832,0.07316399843784388,0.023401202245481825,0.19458524472890074,0.01858987596378839
ABT,1.255829442160905,0.39233176579936135,3.2009374504819905,VNT,0.13898080214041764,Abbott Laboratories,Health Care,Health Care Equipment,ABT,PNW,GE,LDOS,ALL,ETR,FOX,KIM,FOXA,HST,0.007898410022114702,0.36949241721215237,0.23747910788223595,0.11491210917067737,0.023552104246884958,0.19637204446015696,0.17853705911876327,0.07607266033847697,0.010023301597364007,0.03625623035694086,0.11657716543454484,0.010218217393954713,0.05666125939447614,0.44759023870166353,0.17390421505107212,0.010621412345610549,0.15513903563668954,0.0035851556244892143,0.01568024168246285,0.018573826827199515,0.1984923003421832,0.21142442278084625,0.20887473850368524,0.003704651205761398
ABBV,10.452626373638086,0.3512688400835522,29.756770828724356,NEM,0.10275570517274422,AbbVie Inc.,Health Care,Pharmaceuticals,ABBV,HFC,AVB,XRX,AEP,CINF,BXP,AAL,CCL,OXY,0.025969690894898353,0.40651440893632407,0.2719512377553207,0.11650381805642923,0.12808906238347278,0.07795256923018082,0.15669417359270996,0.06552317218652436,0.13854623102902247,0.03952336644368987,0.0004817864754823371,0.004734582847167374,0.16149379025726335,0.6607482314351928,0.1868320967754114,0.13757598539228424,0.00582101367444957,0.07195513335581333,0.045728862453599806,0.06581539768042051,0.0464227293636187,0.08471114942856434,0.0271616561718341,0.3279759757040039
ABMD,-4.541960538758549,0.43107762232919106,-10.536293937545418,VNT,0.039670644485752575,ABIOMED Inc,Health Care,Health Care Equipment,ABMD,HIG,ALLE,WYNN,LW,C,O,WELL,LVS,HWM,-0.013855717022278124,0.40646501234655247,0.29892114285851673,0.09695135519895974,0.24944405182633544,0.034922600825162554,0.03110368273035473,0.02428973958965319,0.03835027430025221,0.02041019420040181,0.20351349978249164,0.002093458687871855,0.04452629346983456,0.5626062572480464,0.07966367713754614,0.2267973799553427,0.04463114933053597,0.09139287255231517,0.08167878563994196,0.31651649319945224,0.0411895146857031,0.013519973564875326,0.011491572054712249,0.09311858187957514
ACN,-5.1095053093838665,0.4148482979694178,-12.31656326998004,VNT,0.19125767521618192,Accenture plc,Information Technology,IT Consulting & Other Services,ACN,IFF,FRT,LHX,XOM,TAP,NOV,FTI,CTXS,VRTX,0.05881383546261115,0.32339161196913674,0.0273535397292076,0.07121380279344744,0.0008007055247164578,0.20584770956473464,0.010219081935146751,0.25034420564733667,0.030612207081651265,0.0028358716286344195,0.2465027481538768,0.15427012794124795,0.14520433558942294,0.39217226712694,0.002027026151444653,0.07325047986529432,0.016671825372553784,0.04256742497086182,0.30188860885764174,0.22885549057265095,0.01938186338443088,0.0760880962342977,0.2137714686175011,0.025497715973323
ATVI,-7.7005941231886315,0.390443836670414,-19.722667897275446,VNT,-0.0800240465997003,Activision Blizzard,Communication Services,Interactive Home Entertainment,ATVI,WEC,USB,MAA,DXC,PEAK,D,FISV,CMS,RCL,-0.024357374059764684,0.34405892508197355,0.2453182596435404,0.2066421518064059,0.09792472443797672,0.09782894283178811,0.014816956065849353,0.0021311385832769596,0.015686279679649,0.026120171172438904,0.25957682470977034,0.0339545510693044,0.03636799267398846,0.5341598516305123,0.016658255165949057,0.06612534233015807,0.270984879976559,0.17282093003505006,0.2248359084623632,0.014986505508025202,0.033375068334901344,0.11043459041151997,0.020548698516339985,0.0692298212591341
ADBE,-18.42058229189625,0.4820026088754317,-38.21676885706825,VNT,0.020616766196889083,Adobe Inc.,Information Technology,Application Software,ADBE,FOX,DISCK,SRE,SO,HIG,DVN,KIM,C,L,0.021092454837127378,0.4001840204605751,0.2616783167318563,0.053932151087208224,0.12209477611074113,0.033479614824166726,0.3221727381913127,0.04352393284166728,0.03110471118305142,0.019390753121142655,0.037044603888842016,0.07557840202001155,0.16645527695253315,0.5751237493052782,0.02857492278217784,0.04209248139857599,0.293076900343236,0.021671650689393945,0.013060569190287212,0.0335391543785297,0.2466435581188713,0.07238277098193259,0.07802802874290549,0.17092996337409005
AMD,-2.5079003874428074,0.6081682975642685,-4.123694703402037,CARR,0.0009232354542134162,Advanced Micro Devices Inc,Information Technology,Semiconductors,AMD,LDOS,RL,HPE,ALL,C,LMT,D,SRE,DAL,-0.007163758863062256,0.3793594553376098,0.12032090314043045,0.13687177402733391,0.062100242266420205,0.07357454436887766,0.16668073638216063,0.00028009252860757813,0.17920563935649644,0.17007854817932236,0.06167576420523539,0.029211755545115514,0.06144184636256259,0.5344738814500337,0.016833839185750477,0.0014123259797351245,0.19892080139934795,0.1330918539249311,0.007998204178889204,0.3568432690878103,0.021176913860107466,0.044542717370192754,0.09647587852285527,0.12270419649038024
AAP,17.967125450771725,0.47534015129495344,37.798459485958595,VNT,0.07569111921766965,Advance Auto Parts,Consumer Discretionary,Automotive Retail,AAP,KMI,PRGO,NOC,OXY,UDR,ESS,CME,TAP,AVB,0.03157194629247384,0.36557501897733585,0.08515340508287773,0.016532406360526178,0.2256183110819939,0.29493516432445654,0.011275415630574529,0.030742470641452767,0.03799225456942139,0.12351833098645215,0.06430288836843169,0.1099293529538131,0.1882199153995193,0.5620594800733281,0.0849908219203072,0.20593003245411012,0.016890280138114687,0.05364199066068631,0.2681962147270681,0.03337415218878579,0.010683693622750361,0.11193925510391411,0.2032754520189259,0.011078107165337468
AES,42.0212847121218,0.5945238786268484,70.68056679098731,KR,0.0650879444030078,AES Corp,Utilities,Independent Power Producers & Energy Traders,AES,ATO,NOC,DXCM,HII,GIS,EVRG,CLX,DLR,HFC,-0.00690520645391139,0.26446394437116283,0.06581697916576577,0.007383321919076345,0.07163781640543197,0.07446338418425315,0.16433074392729743,0.17185989580297495,0.021079452674643763,0.34031948856892497,0.03846584359636753,0.044643073755264204,0.06232456170119258,0.4041042951965504,0.26151729634107307,0.029280722023207032,0.07227166682409047,0.0067568076846720275,0.12250065435942525,0.19150324987425132,0.05001198208061149,0.02320925092899293,0.0018777538423326592,0.24107061604134372
