,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Security,GICS Sector,GICS Sub-Industry,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
MMM,0.015672260261927282,0.36213474216700303,0.04327742808697383,NEM,0.16160689116845936,3M Company,Industrials,Industrial Conglomerates,MMM,KR,NLOK,EVRG,COG,SBAC,AMT,DLR,INCY,CPB,0.0629021094576991,0.23144482861342025,0.15400051769852893,0.17031579594049312,0.18743678069199388,0.005788060417433384,0.10872829820691782,0.026715023738259628,0.0016081357708345285,0.01590852301184641,0.12283296475025499,0.2066658997734372,0.10006652043028559,0.24842922617894328,0.03317201287517658,0.2737771372814971,0.2577947211804455,0.004246072281308726,0.2137007084776198,0.0640244982819172,0.04152604676130652,0.023845403399418267,0.08184759440461095,0.006065805056699274
ABT,0.24952886723097784,0.37688949481634104,0.6620743498106089,VNT,0.13007910971390765,Abbott Laboratories,Health Care,Health Care Equipment,ABT,BK,AFL,NLSN,WU,DISCA,PPL,CSCO,DXC,LW,0.011308909435429242,0.3470977861620934,0.2333378835286583,0.06728419547721196,0.06967884000635433,0.031682232937510414,0.20456361385558805,0.06662602787693124,0.06213141945942463,0.15292058489258278,0.001628799127555622,0.11014640283818271,0.048295184721281734,0.3714034635260429,0.25547957724371834,0.1758260482808727,0.02755074621566838,0.11124873365438324,0.0719999981808702,0.27978676389905627,0.023241551254114333,0.0305171193585109,0.021665769094289498,0.0026836928185160493
ABBV,0.2693329164892925,0.33838373614293665,0.795939307128885,NEM,0.1012024756773497,AbbVie Inc.,Health Care,Pharmaceuticals,ABBV,BSX,ESS,XOM,LHX,SLG,NOV,TSN,ETR,UDR,-0.029654306247474567,0.3490605901421891,0.21318376510595563,0.12403814775761865,0.07162090643309191,0.1718067277004653,0.16226793675690857,0.0027858550167458853,0.0034991866263902327,0.14035236372077844,0.006168688787979873,0.10427642209406554,0.00016250687180197065,0.39008551237486455,0.4263216126855439,0.005446707407198424,0.031150667966799286,0.15425175748480122,0.027261502872503694,0.09793685098860758,0.11037482029109055,0.10012175807558228,0.008738582476128527,0.038395739751744616
ABMD,0.542856406407684,0.4462122952627236,1.216587736758929,VNT,0.009509302222811027,ABIOMED Inc,Health Care,Health Care Equipment,ABMD,JPM,BDX,KO,ZION,CI,PXD,BAC,HES,NLSN,0.10296014019335269,0.32406781934277124,0.23494281020235555,0.03842359299953187,0.30335651710544737,0.12321919249720736,0.00941786387217978,0.11316353528638573,0.05353697096734537,0.04840606991863793,0.018255292209216675,0.057278154941692395,0.15736494106234877,0.3501121559172451,0.34344756833259377,0.07328677257831684,0.0852846933348273,0.17697787694844436,0.08879980227350938,0.030029504591528974,0.011927334123531726,0.003427618924455236,0.04539077651075979,0.1414280523820328
ACN,0.20457804461197712,0.3988184923572396,0.5129602777514324,VNT,0.1973360672132865,Accenture plc,Information Technology,IT Consulting & Other Services,ACN,PSX,CCL,IFF,CTXS,AAL,TAP,LHX,REG,VRTX,0.03767371329440594,0.31696344319480557,0.214786392068077,0.006013324119802304,0.02693703923974692,0.061812175362593764,0.28307834616999583,0.018055259748466196,0.20441157473705998,0.1096646468605757,0.01545726760430344,0.05978397408937887,0.03767371329440594,0.31696344319480557,0.214786392068077,0.006013324119802304,0.02693703923974692,0.061812175362593764,0.28307834616999583,0.018055259748466196,0.20441157473705998,0.1096646468605757,0.01545726760430344,0.05978397408937887
ATVI,0.40366313293392747,0.37557777593469804,1.0747790705382756,MAR,-0.08046516342957412,Activision Blizzard,Communication Services,Interactive Home Entertainment,ATVI,COF,PVH,MSI,WRB,BKR,CI,XRAY,MO,MHK,0.10712264753669491,0.33014952594073793,0.3300606273329341,0.01357967983396148,0.009907277901760205,0.11963480104775828,0.06603511850208539,0.012504898383126588,0.10453308788783237,0.31993653924276755,0.010756154664695303,0.013051815203078812,0.10712264753669491,0.33014952594073793,0.3300606273329341,0.01357967983396148,0.009907277901760205,0.11963480104775828,0.06603511850208539,0.012504898383126588,0.10453308788783237,0.31993653924276755,0.010756154664695303,0.013051815203078812
ADBE,0.33319445130034303,0.4627062833552514,0.7200992579660449,VNT,0.03025253274147391,Adobe Inc.,Information Technology,Application Software,ADBE,GL,JPM,LMT,UNM,CF,VNT,CSCO,CI,MAR,0.054246726338467374,0.30290860051630497,0.22830193346519542,0.0300237445078123,0.00832496101707074,0.09821661431923023,0.01844742710995127,0.02098168043358458,0.2211490062994052,0.27239796098821856,0.07837445036771612,0.023782221491815577,0.06844339887032534,0.3177624991153793,0.2593482934440372,0.011318666043270495,0.03077886325539306,0.04788044801178888,0.02976823469247662,0.18923588598999488,0.28518703163201764,0.014937485468771048,0.0828213756221393,0.04872371584011076
AMD,0.6957083582917413,0.5903169309986441,1.1785336346609703,CARR,0.0028526405819768153,Advanced Micro Devices Inc,Information Technology,Semiconductors,AMD,LDOS,LUV,WU,D,AFL,WELL,FLT,LW,AMT,0.01093227810135091,0.35527507931832375,0.07844946731503996,0.16881958290797863,0.08425972652039489,0.1966721184651352,0.21158871713266633,0.010422876295584135,0.0005530027293986849,0.015564598123530804,0.07036615392962355,0.163303756580648,0.16778567800655678,0.40064138160804985,0.3545762972426897,0.27913345950746754,0.02384812551360577,0.039305052636968436,0.04161997408647951,0.031070445342107105,0.04264328959523289,0.09354558916246195,0.05351826858357947,0.04073949832940759
AAP,0.06453795987945257,0.4595391456456063,0.14044061423490534,VNT,0.10081508455196338,Advance Auto Parts,Consumer Discretionary,Automotive Retail,AAP,PRGO,CBOE,VRTX,ATO,BXP,NOC,WBA,WFC,TAP,-0.04082672140422965,0.31169821041100737,0.051406173614002244,0.0639672796694114,0.20208368830286638,0.20114432233515545,0.13373124069298525,0.001259563000995687,0.13489129784786608,0.10498400122352189,0.0005966286281416162,0.1059358046850542,-0.015833663370887104,0.33447601618839196,0.12236398695397513,0.02438724977844402,0.08158319537281823,0.3752556048374142,0.0011767830706166972,0.016013286350800116,0.026722948880959534,0.0987563423444593,0.05475021936366545,0.19899038304684724
AES,0.3753395214529778,0.5708154168960062,0.6575497268346535,KR,0.06426784592167473,AES Corp,Utilities,Independent Power Producers & Energy Traders,AES,EVRG,NLOK,NEM,CCI,DPZ,ATO,HRL,NOC,CNC,0.08876737851720548,0.23376585408697406,0.03672490080025237,0.04842173572377163,0.19233576344676687,0.022217896411159805,0.0015548591467573253,0.27626156607133456,0.008084531767312114,0.32566142089620487,0.08524725385386538,0.0034900718825750534,0.1475009632576229,0.2736303988063561,0.14849806167893273,0.028327550721210983,0.18905565268927674,0.26005379692229774,0.1098864404917499,0.1413315635531118,0.04641681326478153,0.04116093771520022,0.0337144189818716,0.0015547639815667617
