,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Clustering,D,W,M,3M,6M,A,YTD,Security,GICS Sector,GICS Sub-Industry,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
MMM,0.08239155423239308,0.36700566122884626,0.2244966847555462,VNT,0.06317688256376289,0.0,6.08%,2.11%,1.19%,10.06%,14.05%,2.77%,6.61%,3M Company,Industrials,Industrial Conglomerates,MMM,NLOK,REGN,KR,CLX,DXCM,NEM,LLY,AKAM,NFLX,0.280814486271281,0.22238411156721585,0.17,0.14,0.09,0.21,0.09,0.04,0.1,0.02,0.04,0.08,0.38656988252086005,0.24901633567281148,0.01,0.2,0.02,0.03,0.27,0.11,0.03,0.19,0.03,0.11
ABBV,0.20092747628380242,0.34343991903427495,0.5850440357917451,NEM,0.12135161406638295,0.0,-5.52%,0.31%,2.46%,24.00%,11.97%,27.72%,-0.99%,AbbVie Inc.,Health Care,Pharmaceuticals,ABBV,REGN,KR,NLOK,CLX,DXCM,NEM,AKAM,CHD,LUMN,0.2910828724607696,0.21777687083356725,0.16,0.01,0.19,0.11,0.2,0.03,0.04,0.13,0.04,0.07,0.354067304266285,0.2376471458056772,0.02,0.05,0.1,0.14,0.21,0.14,0.1,0.02,0.03,0.18
ABMD,0.7129410773244163,0.4582529890825476,1.5557805280261692,KR,0.05423881680374814,2.0,-3.61%,5.52%,18.28%,17.01%,34.21%,90.05%,15.23%,ABIOMED Inc,Health Care,Health Care Equipment,ABMD,LUMN,REGN,VNT,LLY,KEYS,NLOK,ANET,FFIV,SIVB,0.40622549212746484,0.22197162612834012,0.1,0.07,0.05,0.21,0.04,0.15,0.22,0.0,0.13,0.01,0.4972088870408734,0.23613876738895323,0.27,0.13,0.09,0.33,0.07,0.05,0.01,0.01,0.03,0.01
ACN,0.1695385169810517,0.40064117692011003,0.4231679785996101,KR,0.20194303490905027,0.0,-2.72%,0.44%,4.87%,16.04%,22.58%,26.04%,-3.79%,Accenture plc,Information Technology,IT Consulting & Other Services,ACN,REGN,KR,NLOK,CLX,DXCM,LUMN,LLY,NEM,AKAM,0.3287100814292722,0.22286050074354752,0.04,0.03,0.19,0.24,0.2,0.05,0.07,0.04,0.09,0.04,0.3741652354949445,0.2395407041850558,0.02,0.04,0.04,0.19,0.21,0.07,0.19,0.14,0.09,0.01
ATVI,0.402348565334267,0.3798226801142379,1.0593063194995467,OTIS,-0.08795292088212851,2.0,-4.02%,4.12%,16.82%,14.70%,22.33%,57.29%,-2.07%,Activision Blizzard,Communication Services,Interactive Home Entertainment,ATVI,LUMN,REGN,SIVB,NWSA,ANET,TT,KEYS,BLL,FFIV,0.36033966196949824,0.27172330190199384,0.24,0.23,0.23,0.01,0.0,0.02,0.02,0.02,0.04,0.19,0.36033966196949824,0.27172330190199384,0.24,0.23,0.23,0.01,0.0,0.02,0.02,0.02,0.04,0.19
ADBE,0.3111818987699823,0.4644987544299705,0.669930534371104,CARR,0.08661313953177022,2.0,-3.42%,3.13%,4.52%,1.98%,14.89%,51.64%,-6.86%,Adobe Inc.,Information Technology,Application Software,ADBE,VNT,LUMN,LLY,FFIV,REGN,ANET,KEYS,AMAT,KR,0.36053201620099223,0.2138368362379146,0.03,0.25,0.02,0.12,0.11,0.09,0.08,0.01,0.04,0.24,0.3815266969954335,0.21896626237619957,0.01,0.33,0.07,0.08,0.01,0.06,0.06,0.12,0.05,0.22
AMD,0.5823626221117659,0.5925425940265379,0.9828198478600578,CARR,0.007465948545795866,2.0,-6.20%,5.19%,-1.03%,11.86%,74.32%,99.98%,-3.74%,Advanced Micro Devices Inc,Information Technology,Semiconductors,AMD,REGN,LUMN,LLY,DXCM,KR,NLOK,CLX,FFIV,AKAM,0.32436531036438876,0.22641706279095403,0.01,0.11,0.06,0.01,0.05,0.18,0.11,0.18,0.17,0.11,0.3889867545092099,0.2424589674583884,0.05,0.03,0.15,0.13,0.04,0.0,0.22,0.23,0.14,0.02
AAP,-0.03902464443246879,0.46396902789987815,-0.0841104515297303,KR,0.09851950571103302,3.0,-6.15%,-0.90%,6.81%,2.77%,10.92%,-0.90%,-3.86%,Advance Auto Parts,Consumer Discretionary,Automotive Retail,AAP,REGN,KR,NLOK,CLX,LLY,LUMN,NEM,DXCM,VNT,0.3170184617204852,0.18448014898289503,0.07,0.03,0.29,0.09,0.22,0.0,0.0,0.01,0.0,0.27,0.3851030390319301,0.19257309007959122,0.02,0.0,0.14,0.19,0.17,0.02,0.09,0.03,0.07,0.29
AES,0.19808421564988626,0.5797601663523698,0.34166579069437747,KR,0.007950111907755257,0.0,-6.51%,-1.81%,14.97%,30.72%,64.91%,22.15%,1.87%,AES Corp,Utilities,Independent Power Producers & Energy Traders,AES,DXCM,NLOK,CLX,KR,NEM,AKAM,MKTX,REGN,LLY,0.3152089764272009,0.22949936342827895,0.02,0.05,0.22,0.21,0.19,0.08,0.14,0.04,0.04,0.0,0.35765138921727424,0.23893751584178657,0.01,0.1,0.18,0.25,0.03,0.15,0.09,0.0,0.02,0.15
AFL,-0.09134612507099862,0.5571339691193568,-0.1639571990474507,CLX,-0.08326274385546631,3.0,-2.76%,-0.11%,1.23%,23.14%,25.17%,-13.60%,4.16%,AFLAC Inc,Financials,Life & Health Insurance,AFL,WMT,MSFT,ODFL,ADBE,ABMD,PYPL,LLY,ROL,TMUS,0.3692872568379988,0.2811527258549633,0.09,0.3,0.04,0.11,0.01,0.14,0.07,0.02,0.15,0.06,0.5242981391414021,0.3149479015140465,0.03,0.05,0.01,0.21,0.01,0.27,0.14,0.17,0.06,0.06
A,0.3306739347744565,0.3561438257930455,0.9284842550285022,VNT,0.17536070374200732,2.0,-4.13%,0.10%,1.36%,17.60%,34.33%,39.79%,2.73%,Agilent Technologies Inc,Health Care,Health Care Equipment,A,REGN,KR,NLOK,DXCM,CLX,LUMN,NEM,AKAM,LLY,0.3238737776484034,0.22331485377410665,0.01,0.15,0.22,0.21,0.03,0.11,0.08,0.08,0.0,0.08,0.37780245140392726,0.23877480187775801,0.08,0.0,0.03,0.25,0.11,0.25,0.12,0.01,0.03,0.12
APD,0.17114340672995115,0.4293943859170614,0.39856926951766886,VNT,0.08758452155040428,0.0,-2.88%,-1.15%,-1.99%,-7.82%,14.24%,18.82%,1.50%,Air Products & Chemicals Inc,Materials,Industrial Gases,APD,LUMN,LLY,VNT,FFIV,KEYS,REGN,ANET,AMAT,ALXN,0.39291662385646525,0.2386141777231525,0.03,0.08,0.17,0.27,0.22,0.04,0.11,0.05,0.01,0.03,0.39291662385646525,0.2386141777231525,0.03,0.08,0.17,0.27,0.22,0.04,0.11,0.05,0.01,0.03
