ticker,Return,Volatility,Sharpe,Min_Corr,Corr_value,D,W,M,3M,6M,A,YTD
MMM,8.24%,36.70%,0.22,VNT,0.06,6.08%,2.11%,1.19%,10.06%,14.05%,2.77%,6.61%
ABBV,20.09%,34.34%,0.59,NEM,0.12,-5.52%,0.31%,2.46%,24.00%,11.97%,27.72%,-0.99%
ABMD,71.29%,45.83%,1.56,KR,0.05,-3.61%,5.52%,18.28%,17.01%,34.21%,90.05%,15.23%
ACN,16.95%,40.06%,0.42,KR,0.20,-2.72%,0.44%,4.87%,16.04%,22.58%,26.04%,-3.79%
ATVI,40.23%,37.98%,1.06,OTIS,-0.09,-4.02%,4.12%,16.82%,14.70%,22.33%,57.29%,-2.07%
ADBE,31.12%,46.45%,0.67,CARR,0.09,-3.42%,3.13%,4.52%,1.98%,14.89%,51.64%,-6.86%
AMD,58.24%,59.25%,0.98,CARR,0.01,-6.20%,5.19%,-1.03%,11.86%,74.32%,99.98%,-3.74%
AAP,-3.90%,46.40%,-0.08,KR,0.10,-6.15%,-0.90%,6.81%,2.77%,10.92%,-0.90%,-3.86%
AES,19.81%,57.98%,0.34,KR,0.01,-6.51%,-1.81%,14.97%,30.72%,64.91%,22.15%,1.87%
AFL,-9.13%,55.71%,-0.16,CLX,-0.08,-2.76%,-0.11%,1.23%,23.14%,25.17%,-13.60%,4.16%
A,33.07%,35.61%,0.93,VNT,0.18,-4.13%,0.10%,1.36%,17.60%,34.33%,39.79%,2.73%
APD,17.11%,42.94%,0.40,VNT,0.09,-2.88%,-1.15%,-1.99%,-7.82%,14.24%,18.82%,1.50%
AKAM,25.95%,37.77%,0.69,FRT,-0.07,2.94%,2.45%,1.43%,-5.02%,-1.96%,21.54%,9.30%
ALK,-27.84%,77.98%,-0.36,CTXS,-0.11,-5.75%,1.53%,2.02%,41.96%,43.41%,-22.81%,-2.65%
ALB,76.86%,60.88%,1.26,VNT,0.12,-3.72%,-3.57%,8.79%,65.68%,92.34%,105.39%,12.19%
ARE,7.61%,41.33%,0.18,VNT,0.08,-1.64%,0.28%,9.53%,12.08%,11.26%,13.27%,-5.57%
ALXN,33.83%,45.01%,0.75,CARR,0.07,-3.75%,1.93%,27.95%,36.54%,39.20%,44.47%,1.01%
ALGN,59.53%,66.91%,0.89,KR,-0.03,-4.76%,-5.84%,11.03%,63.24%,94.72%,91.51%,-0.01%
ALLE,-7.19%,44.32%,-0.16,VNT,0.07,0.80%,-0.70%,2.35%,18.01%,14.56%,-5.41%,-2.21%
LNT,-6.08%,37.47%,-0.16,VNT,0.08,-1.73%,-0.12%,-2.03%,0.46%,9.22%,-3.16%,-4.27%
ALL,1.30%,41.71%,0.03,KR,0.13,0.90%,1.87%,7.41%,17.38%,14.60%,-0.12%,0.78%
GOOGL,28.23%,38.02%,0.74,VNT,0.13,-4.67%,9.55%,-0.10%,19.59%,23.60%,30.85%,5.92%
GOOG,28.85%,37.81%,0.76,VNT,0.13,-4.51%,9.50%,-0.50%,19.21%,23.93%,31.03%,6.53%
